trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.6, 'e': 0.9881654168420767}",30,0,-164.32826659267636,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
155,False,"{'a': 0.6, 'e': 0.9880115307742399}",20,0,-84.03886497503186,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
156,False,"{'a': 0.6, 'e': 0.9878566566949545}",25,0,-166.3133603097397,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
157,False,"{'a': 0.6, 'e': 0.9877007947590948}",20,0,-84.34226593460652,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
158,False,"{'a': 0.6, 'e': 0.9875439451225226}",25,0,-121.62490173232845,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
159,False,"{'a': 0.6, 'e': 0.9873861079420876}",20,0,-138.56640743737728,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
160,False,"{'a': 0.6, 'e': 0.9872272833756269}",20,0,-73.85886314322279,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
161,False,"{'a': 0.6, 'e': 0.9870674715819652}",25,0,-66.56173539955624,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
162,False,"{'a': 0.6, 'e': 0.986906672720914}",25,0,-114.51374409346371,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
163,False,"{'a': 0.6, 'e': 0.9867448869532726}",30,0,-91.95652346426385,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
164,False,"{'a': 0.6, 'e': 0.9865821144408262}",20,0,-108.01263161558313,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
165,False,"{'a': 0.6, 'e': 0.9864183553463477}",25,0,-115.03862925542862,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
166,False,"{'a': 0.6, 'e': 0.986253609833596}",30,0,-240.52333105082442,"{0: 14, 1: 7, 2: 4, 3: 1, 4: 4}",0
